journey_id,path,num_touchpoints,converted,revenue
1,Social Media > Organic Search > Social Media > Paid Search,4,1,735.31
2,Organic Search > Email > Organic Search > Paid Search,4,1,99.71
3,Social Media,1,1,197.32
4,Email > Organic Search,2,0,0
5,Social Media > Email > Social Media,3,0,0
6,Paid Search > Paid Search > Paid Search,3,0,0
7,Social Media,1,0,0
8,Social Media,1,1,251.41
9,Social Media,1,0,0
10,Social Media,1,0,0
11,Social Media,1,0,0
12,Organic Search > Paid Search > Email > Paid Search > Social Media > Paid Search > Email,7,1,142.55
13,Organic Search > Social Media,2,0,0
14,Social Media,1,0,0
15,Organic Search,1,0,0
16,Organic Search > Email,2,0,0
17,Social Media,1,1,705.71
18,Email > Social Media > Organic Search > Social Media > Social Media > Paid Search,6,0,0
19,Direct > Direct,2,1,278.64
20,Paid Search > Email > Email,3,1,196.15
21,Direct,1,1,299.38
22,Paid Search > Paid Search > Organic Search > Paid Search,4,1,1133.24
23,Organic Search > Email,2,0,0
24,Paid Search,1,0,0
25,Direct > Organic Search,2,0,0
26,Social Media,1,1,210.24
27,Organic Search > Direct,2,1,450.34
28,Organic Search > Direct > Social Media,3,0,0
29,Direct > Direct,2,1,291.7
30,Email,1,1,1295.53
31,Organic Search > Social Media > Organic Search,3,0,0
32,Direct,1,0,0
33,Paid Search > Organic Search,2,0,0
34,Direct > Paid Search > Direct > Paid Search,4,0,0
35,Email > Paid Search > Direct,3,1,268.11
36,Paid Search > Social Media,2,1,801.73
37,Paid Search,1,0,0
38,Social Media > Direct,2,1,106.17
39,Paid Search,1,1,105.05
40,Organic Search,1,1,276.36
41,Direct > Paid Search > Social Media,3,0,0
42,Organic Search > Paid Search,2,0,0
43,Social Media > Direct,2,0,0
44,Email > Social Media > Organic Search > Direct,4,1,637.45
45,Social Media,1,0,0
46,Organic Search > Email > Direct,3,0,0
47,Organic Search > Paid Search > Direct,3,1,112.45
48,Direct,1,1,320.13
49,Organic Search,1,0,0
50,Email,1,0,0
51,Direct,1,0,0
52,Organic Search > Direct > Email > Direct > Paid Search > Direct,6,0,0
53,Organic Search,1,0,0
54,Paid Search > Direct,2,0,0
55,Direct,1,1,732.2
56,Organic Search,1,0,0
57,Social Media,1,1,585.75
58,Social Media,1,1,162.97
59,Direct > Paid Search > Social Media,3,1,341.12
60,Organic Search,1,0,0
61,Organic Search,1,1,451.53
62,Social Media,1,1,181.7
63,Social Media > Paid Search > Direct,3,1,129.04
64,Email > Paid Search > Direct,3,0,0
65,Direct > Paid Search > Social Media > Social Media,4,0,0
66,Direct,1,0,0
67,Paid Search > Social Media,2,0,0
68,Social Media,1,0,0
69,Direct,1,1,254.28
70,Organic Search,1,1,153.72
71,Organic Search > Paid Search,2,1,201.21
72,Social Media > Paid Search,2,1,172.13
73,Direct,1,0,0
74,Organic Search > Email > Direct > Organic Search,4,0,0
75,Social Media > Social Media,2,0,0
76,Social Media > Direct > Organic Search > Paid Search,4,0,0
77,Direct,1,1,1373.76
78,Organic Search > Paid Search > Email,3,0,0
79,Email,1,0,0
80,Direct > Email > Email > Paid Search,4,0,0
81,Direct,1,1,292.73
82,Direct,1,0,0
83,Direct,1,0,0
84,Direct > Organic Search,2,0,0
85,Paid Search,1,0,0
86,Email,1,0,0
87,Email > Direct,2,0,0
88,Organic Search,1,0,0
89,Direct > Email,2,0,0
90,Paid Search > Email,2,0,0
91,Organic Search > Organic Search > Paid Search > Email,4,0,0
92,Direct > Email,2,1,295.29
93,Paid Search,1,0,0
94,Organic Search,1,0,0
95,Organic Search,1,0,0
96,Organic Search > Paid Search > Direct,3,0,0
97,Paid Search,1,1,431.12
98,Social Media > Social Media,2,0,0
99,Organic Search,1,0,0
100,Paid Search,1,1,1505.94
101,Paid Search > Organic Search,2,1,128.48
102,Email,1,1,127.32
103,Paid Search > Direct > Direct > Paid Search > Direct,5,0,0
104,Social Media,1,0,0
105,Social Media > Email,2,1,121.73
106,Paid Search,1,1,478.99
107,Paid Search > Social Media > Direct,3,0,0
108,Email > Social Media > Organic Search > Direct,4,1,254.61
109,Email,1,1,99.78
110,Organic Search > Paid Search > Direct,3,0,0
111,Organic Search > Email,2,1,224.09
112,Paid Search > Social Media,2,0,0
113,Organic Search,1,0,0
114,Email > Paid Search > Direct > Social Media,4,0,0
115,Paid Search > Organic Search > Paid Search,3,0,0
116,Paid Search,1,0,0
117,Social Media,1,0,0
118,Social Media,1,0,0
119,Direct,1,1,1257.17
120,Email,1,1,397.46
121,Paid Search > Email > Email,3,1,1281.95
122,Social Media > Social Media > Organic Search > Social Media > Social Media > Email,6,1,107.82
123,Social Media,1,0,0
124,Organic Search > Email,2,1,324.1
125,Paid Search,1,0,0
126,Social Media,1,0,0
127,Direct,1,0,0
128,Paid Search > Organic Search > Email,3,1,481.37
129,Paid Search,1,1,561.95
130,Organic Search > Paid Search > Direct > Organic Search > Social Media,5,0,0
131,Paid Search > Social Media > Direct > Paid Search,4,1,148.51
132,Social Media > Organic Search,2,1,165.42
133,Organic Search > Email > Social Media > Email,4,0,0
134,Paid Search,1,0,0
135,Email > Email > Paid Search > Organic Search > Direct,5,0,0
136,Paid Search,1,1,1477.63
137,Email,1,0,0
138,Organic Search > Organic Search > Paid Search > Paid Search,4,1,330.78
139,Social Media,1,0,0
140,Organic Search,1,1,671.8
141,Email,1,0,0
142,Organic Search > Organic Search > Social Media,3,0,0
143,Direct,1,1,613.99
144,Social Media,1,0,0
145,Organic Search,1,0,0
146,Direct,1,1,295.96
147,Email > Direct,2,1,176.49
148,Paid Search,1,0,0
149,Email > Paid Search,2,0,0
150,Social Media,1,0,0
151,Social Media > Direct,2,0,0
152,Direct > Email,2,0,0
153,Paid Search > Direct,2,1,902.59
154,Direct,1,0,0
155,Organic Search,1,0,0
156,Organic Search > Direct,2,1,57.17
157,Direct > Email > Social Media,3,0,0
158,Paid Search,1,0,0
159,Social Media > Social Media > Organic Search,3,0,0
160,Organic Search,1,0,0
161,Paid Search,1,0,0
162,Social Media,1,0,0
163,Paid Search,1,0,0
164,Organic Search > Paid Search,2,1,195.39
165,Paid Search,1,1,647.56
166,Paid Search,1,1,112.85
167,Organic Search > Paid Search > Paid Search,3,1,777.72
168,Organic Search > Direct,2,0,0
169,Direct,1,1,75.13
170,Organic Search > Paid Search > Social Media > Organic Search > Direct > Email,6,0,0
171,Social Media,1,0,0
172,Organic Search,1,0,0
173,Paid Search,1,0,0
174,Social Media > Direct,2,1,62.84
175,Direct,1,1,1101.06
176,Organic Search,1,1,87.3
177,Social Media > Email,2,0,0
178,Organic Search,1,0,0
179,Social Media,1,0,0
180,Organic Search > Direct,2,1,716.1
181,Direct > Direct,2,1,644.05
182,Direct > Email > Social Media,3,0,0
183,Organic Search > Paid Search > Organic Search > Organic Search > Direct,5,1,107.87
184,Social Media,1,0,0
185,Paid Search,1,1,415.13
186,Social Media,1,0,0
187,Direct,1,1,588.58
188,Direct,1,0,0
189,Organic Search > Paid Search > Email,3,1,373.17
190,Organic Search,1,1,765.61
191,Paid Search > Direct > Paid Search > Organic Search > Direct > Direct > Email > Paid Search,8,0,0
192,Email,1,1,499.83
193,Social Media > Social Media > Organic Search,3,0,0
194,Paid Search,1,1,172.6
195,Social Media,1,0,0
196,Paid Search > Paid Search > Email > Direct,4,1,231.92
197,Social Media > Social Media,2,0,0
198,Email,1,1,388.71
199,Paid Search,1,0,0
200,Paid Search,1,1,363.06
201,Paid Search > Direct > Email > Direct,4,0,0
202,Social Media,1,0,0
203,Organic Search > Direct,2,0,0
204,Paid Search,1,1,293.29
205,Social Media > Paid Search > Social Media,3,1,255.93
206,Direct,1,0,0
207,Paid Search > Paid Search,2,0,0
208,Paid Search,1,1,364.05
209,Email,1,0,0
210,Organic Search,1,1,280.47
211,Paid Search,1,0,0
212,Direct > Email,2,0,0
213,Paid Search,1,0,0
214,Paid Search,1,0,0
215,Organic Search > Social Media,2,1,295.86
216,Organic Search > Direct,2,1,526.06
217,Paid Search > Email > Social Media,3,0,0
218,Social Media > Paid Search,2,0,0
219,Organic Search,1,0,0
220,Social Media,1,0,0
221,Paid Search,1,1,1971.23
222,Paid Search > Organic Search > Direct,3,1,449.68
223,Paid Search,1,1,633.47
224,Paid Search,1,1,167.37
225,Direct,1,1,589.9
226,Direct,1,0,0
227,Direct,1,1,229.68
228,Email,1,0,0
229,Organic Search > Paid Search,2,1,498.97
230,Social Media > Direct > Paid Search,3,1,277.47
231,Social Media,1,0,0
232,Organic Search,1,0,0
233,Organic Search > Email > Paid Search,3,1,675.51
234,Organic Search > Paid Search,2,0,0
235,Social Media > Paid Search,2,0,0
236,Organic Search > Direct > Email > Email > Organic Search,5,0,0
237,Direct,1,1,160.43
238,Paid Search,1,1,454.59
239,Organic Search,1,0,0
240,Organic Search > Email,2,1,192.98
241,Social Media,1,0,0
242,Organic Search,1,0,0
243,Social Media > Social Media,2,1,646.8
244,Organic Search,1,1,742.49
245,Organic Search,1,0,0
246,Social Media > Email,2,1,606.66
247,Social Media,1,0,0
248,Email,1,1,358.54
249,Paid Search > Direct,2,1,635.2
250,Organic Search,1,0,0
251,Organic Search > Paid Search,2,1,312.34
252,Direct,1,0,0
253,Organic Search,1,0,0
254,Paid Search,1,0,0
255,Social Media > Email > Paid Search,3,0,0
256,Organic Search,1,0,0
